category	number_of_genes	p_value	fdr	description
HPO	12	0.0001	0.002	Diarrhea
HPO	16	9.99e-05	0.002	Reduced tendon reflexes
HPO	7	0.0001	0.002	Hypoplasia of teeth
TISSUES	160	1.92e-05	0.002	Whole body
TISSUES	13	1.79e-05	0.002	Uterine cervix
KEGG	8	0.00017	0.002	Breast cancer
HPO	5	0.00011	0.0021	Decreased circulating IgA level
HPO	5	0.00011	0.0021	Abnormality of the thymus
HPO	3	0.00011	0.0022	Ivory epiphyses of the phalanges of the hand
Process	8	4.88e-05	0.0022	Positive regulation of protein ubiquitination
Process	7	4.88e-05	0.0022	Multicellular organism growth
Process	4	5.18e-05	0.0023	Protein localization to chromosome, telomeric region
HPO	26	0.00012	0.0023	Abnormal fundus morphology
HPO	21	0.00012	0.0023	Abnormality of the dentition
Process	7	5.22e-05	0.0023	Positive regulation of double-strand break repair
Process	20	5.14e-05	0.0023	Cell population proliferation
Process	19	5.17e-05	0.0023	Chordate embryonic development
Process	3	5.4e-05	0.0024	Positive regulation of DNA ligation
Process	3	5.4e-05	0.0024	Double-strand break repair via alternative nonhomologous end joining
COMPARTMENTS	4	0.00011	0.0024	Cul2-RING ubiquitin ligase complex
Process	3	5.4e-05	0.0024	Strand invasion
Process	3	5.4e-05	0.0024	Error-free translesion synthesis
Function	3	5.4e-05	0.0025	ATP-dependent DNA/DNA annealing activity
Function	3	5.4e-05	0.0025	5-deoxyribose-5-phosphate lyase activity
HPO	7	0.00013	0.0025	Hypoplasia of the maxilla
Process	8	5.75e-05	0.0025	Regulation of DNA binding
WikiPathways	3	0.00016	0.0025	Dual hijack model of Vif in HIV infection
RCTM	11	0.00018	0.0026	Deubiquitination
Process	7	5.96e-05	0.0026	Regulation of mitotic metaphase/anaphase transition
SMART	5	3.74e-05	0.0026	Domain present in cyclins, TFIIB and Retinoblastoma
COMPARTMENTS	3	0.00011	0.0026	Elongin complex
DISEASES	3	3.4e-05	0.0027	Spinocerebellar ataxia type 1 with axonal neuropathy
DISEASES	4	3.41e-05	0.0027	Lynch syndrome
HPO	22	0.00014	0.0027	Abnormal lung morphology
DISEASES	3	3.4e-05	0.0027	Baller-Gerold syndrome
Process	5	6.13e-05	0.0027	Cellular response to alkaloid
DISEASES	3	3.4e-05	0.0027	Rapadilino syndrome
HPO	10	0.00015	0.0028	Abnormality of extrapyramidal motor function
HPO	18	0.00014	0.0028	Low-set ears
HPO	11	0.00015	0.0028	Tooth agenesis
HPO	11	0.00015	0.0028	Abnormal female reproductive system physiology
HPO	8	0.00015	0.0028	Blepharophimosis
Process	6	6.77e-05	0.003	Homologous chromosome segregation
HPO	12	0.00016	0.0031	Short neck
RCTM	9	0.00023	0.0032	G2/M Transition
Process	5	7.7e-05	0.0034	Regulation of DNA damage response, signal transduction by p53 class mediator
HPO	7	0.00018	0.0035	Urinary tract neoplasm
COMPARTMENTS	3	0.00016	0.0035	Cul5-RING ubiquitin ligase complex
COMPARTMENTS	3	0.00016	0.0035	Primosome complex
Component	3	0.00016	0.0035	Cul5-RING ubiquitin ligase complex
Process	3	8.04e-05	0.0035	Double-strand break repair via classical nonhomologous end joining
Function	3	8.04e-05	0.0036	RNA-DNA hybrid ribonuclease activity
InterPro	3	1.96e-05	0.0036	DNA polymerase alpha/delta/epsilon, subunit B
InterPro	6	2.51e-05	0.0036	SMAD/FHA domain superfamily
InterPro	3	1.96e-05	0.0036	DNA ligase, ATP-dependent, N-terminal
InterPro	6	1.84e-05	0.0036	ATPase, AAA-type, core
Process	28	8.41e-05	0.0036	Regulation of phosphorylation
InterPro	3	1.96e-05	0.0036	DNA ligase, ATP-dependent, C-terminal
InterPro	3	1.96e-05	0.0036	DNA ligase, ATP-dependent, central
InterPro	3	1.96e-05	0.0036	DNA ligase, ATP-dependent, conserved site
InterPro	3	1.96e-05	0.0036	DNA-directed DNA polymerase, family B, conserved site
InterPro	3	1.96e-05	0.0036	GINS subunit, domain A
InterPro	6	1.84e-05	0.0036	Ribonuclease H superfamily
InterPro	3	1.96e-05	0.0036	DNA ligase, ATP-dependent, N-terminal domain superfamily
InterPro	3	1.96e-05	0.0036	Replication factor A protein-like
InterPro	3	1.96e-05	0.0036	PNK, FHA domain
InterPro	3	1.96e-05	0.0036	DNA ligase, ATP-dependent
HPO	9	0.00019	0.0036	Abnormal adipose tissue morphology
Process	10	8.67e-05	0.0037	Regulation of protein ubiquitination
HPO	11	0.00019	0.0037	Flexion contracture of digit
WikiPathways	7	0.00024	0.0037	Spinal cord injury
HPO	10	0.00019	0.0037	Abnormal large intestine morphology
HPO	8	0.0002	0.0038	Aplasia/Hypoplasia involving bones of the thorax
Process	4	8.99e-05	0.0038	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
Process	4	8.99e-05	0.0038	Hematopoietic stem cell differentiation
Component	4	0.00017	0.0038	Cul2-RING ubiquitin ligase complex
InterPro	4	2.71e-05	0.0038	PIN-like domain superfamily
HPO	3	0.00021	0.0039	Loss of facial adipose tissue
HPO	21	0.0002	0.0039	Ataxia
DISEASES	3	5.4e-05	0.0039	Serous cystadenocarcinoma
Process	10	9.34e-05	0.004	Peptidyl-serine modification
HPO	6	0.00022	0.0041	Increased bone mineral density
HPO	31	0.00022	0.0041	Abnormal skeletal muscle morphology
HPO	9	0.00022	0.0041	Abnormal odontoid tissue morphology
RCTM	5	0.00029	0.0041	Formation of TC-NER Pre-Incision Complex
DISEASES	9	5.72e-05	0.0041	Gastrointestinal system cancer
HPO	4	0.00022	0.0041	Progressive external ophthalmoplegia
COMPARTMENTS	8	0.00019	0.0042	cullin-RING ubiquitin ligase complex
HPO	5	0.00023	0.0042	Duplication of thumb phalanx
HPO	7	0.00022	0.0042	Lymphopenia
Process	50	0.0001	0.0043	Macromolecule modification
NetworkNeighborAL	3	5.4e-05	0.0043	Cyclin-dependent kinase, regulatory subunit, and Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes
NetworkNeighborAL	3	5.4e-05	0.0043	G2 Phase, and Familial retinoblastoma
NetworkNeighborAL	3	5.4e-05	0.0043	DNA recombinase mediator complex
NetworkNeighborAL	3	5.4e-05	0.0043	DNA replication factor A complex, and DNA primase activity
Process	19	0.0001	0.0044	Negative regulation of cellular component organization
Process	5	0.00011	0.0045	Sister chromatid cohesion
Process	14	0.00011	0.0046	Developmental growth
HPO	18	0.00025	0.0046	Abnormal location of ears
HPO	6	0.00025	0.0046	Enamel hypoplasia
InterPro	3	3.4e-05	0.0047	XPG conserved site
InterPro	3	3.4e-05	0.0047	ATP-dependent DNA helicase RecQ, zinc-binding domain
InterPro	3	3.4e-05	0.0047	DNA polymerase, thumb domain superfamily
InterPro	3	3.4e-05	0.0047	DNA polymerase family X, binding site
InterPro	3	3.4e-05	0.0047	DNA polymerase lambda, fingers domain
InterPro	3	3.4e-05	0.0047	DNA polymerase beta-like, N-terminal domain
InterPro	3	3.4e-05	0.0047	DNA-directed DNA polymerase X
HPO	4	0.00025	0.0047	Uveitis
InterPro	3	3.4e-05	0.0047	DNA polymerase family X
InterPro	3	3.4e-05	0.0047	DNA polymerase beta, thumb domain
InterPro	3	3.4e-05	0.0047	DNA polymerase beta, palm domain
Process	3	0.00011	0.0048	G-quadruplex DNA unwinding
InterPro	5	4.25e-05	0.0049	Cyclin-like domain
RCTM	6	0.00035	0.0049	APC/C-mediated degradation of cell cycle proteins
HPO	42	0.00028	0.0051	Abnormality of the musculature
HPO	7	0.00027	0.0051	Abnormality of the maxilla
Function	3	0.00011	0.0051	Double-stranded telomeric DNA binding
SMART	3	8.04e-05	0.0051	The FATC domain is named after FRAP, ATM, TRRAP C-terminal (PMID:10782091). The solution structure of the FATC domain suggests it plays a role in redox-dependent structural and cellular stability (PMID:15772072).
HPO	11	0.00029	0.0053	Abnormal number of teeth
HPO	4	0.00029	0.0053	Esophageal atresia
TISSUES	3	5.4e-05	0.0055	M cell
TISSUES	11	5.69e-05	0.0055	Erythroleukemia cell
HPO	22	0.0003	0.0056	Abnormality of coordination
KEGG	6	0.00052	0.0058	Endocrine resistance
HPO	12	0.00031	0.0058	Dyspnea
RCTM	3	0.00042	0.0058	HSF1 activation
KEGG	6	0.00055	0.0059	Progesterone-mediated oocyte maturation
InterPro	4	5.18e-05	0.0059	Cyclin, C-terminal domain
DISEASES	5	8.6e-05	0.006	Cholangiocarcinoma
Process	4	0.00014	0.006	Histone H2A monoubiquitination
Process	4	0.00014	0.006	Regulation of chromatin binding
HPO	3	0.00034	0.0061	Delayed eruption of primary teeth
HPO	6	0.00033	0.0061	Renal hypoplasia
Keyword	4	0.00036	0.0061	Cyclin
InterPro	3	5.4e-05	0.0061	PIK-related kinase, FAT
HPO	11	0.00034	0.0062	Abnormality of the scalp hair
WikiPathways	4	0.00041	0.0062	Tumor suppressor activity of SMARCB1
WikiPathways	6	0.00042	0.0063	Androgen receptor signaling pathway
RCTM	5	0.00046	0.0063	Transcriptional regulation of granulopoiesis
HPO	6	0.00035	0.0064	Horseshoe kidney
Process	3	0.00016	0.0064	DNA damage induced protein phosphorylation
RCTM	6	0.00047	0.0064	Oxidative Stress Induced Senescence
HPO	4	0.00036	0.0066	Glioma
HPO	4	0.00036	0.0066	Reduced subcutaneous adipose tissue
Process	8	0.00016	0.0067	Regulation of nuclear division
Function	3	0.00016	0.0068	5-3 exodeoxyribonuclease activity
RCTM	3	0.00051	0.0069	Cytosolic iron-sulfur cluster assembly
RCTM	3	0.00051	0.0069	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
DISEASES	4	0.00011	0.0071	Chronic progressive external ophthalmoplegia
Function	15	0.00017	0.0072	DNA-binding transcription factor binding
HPO	5	0.0004	0.0072	Nevus count
HPO	8	0.0004	0.0072	Renal agenesis
HPO	10	0.0004	0.0072	Fatigue
Component	15	0.00033	0.0073	Transcription regulator complex
HPO	4	0.00041	0.0073	B lymphocytopenia
KEGG	5	0.0007	0.0073	Renal cell carcinoma
WikiPathways	4	0.0005	0.0074	Fluoropyrimidine activity
Process	24	0.00018	0.0075	Apoptotic process
Process	25	0.00018	0.0076	Regulation of protein phosphorylation
RCTM	2	0.0006	0.008	Defective DNA double strand break response due to BRCA1 loss of function
RCTM	2	0.0006	0.008	Defective DNA double strand break response due to BARD1 loss of function
RCTM	2	0.0006	0.008	Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4
RCTM	2	0.0006	0.008	Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4
RCTM	2	0.0006	0.008	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
RCTM	5	0.00061	0.008	Cytosolic sensors of pathogen-associated DNA
HPO	10	0.00045	0.008	Abnormal rib morphology
HPO	13	0.00046	0.0082	Abnormality of upper limb joint
InterPro	4	7.55e-05	0.0083	Cyclin
TISSUES	49	8.99e-05	0.0084	Internal female genital organ
Process	3	0.00021	0.0084	Protein K6-linked ubiquitination
WikiPathways	2	0.0006	0.0086	Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer
Process	25	0.00021	0.0086	Cell death
WikiPathways	3	0.00061	0.0087	H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity
InterPro	3	8.04e-05	0.0087	PIK-related kinase
InterPro	3	8.04e-05	0.0087	HRDC-like superfamily
InterPro	3	8.04e-05	0.0087	FATC domain
InterPro	3	8.04e-05	0.0087	Transcription factor CBF/NF-Y/archaeal histone domain
HPO	4	0.0005	0.009	Nephroblastoma
HPO	15	0.0005	0.009	Pain
HPO	3	0.00051	0.009	Pelvic kidney
Process	46	0.00023	0.0092	Protein modification process
KEGG	7	0.00092	0.0094	Gastric cancer
RCTM	4	0.00075	0.0097	Cleavage of the damaged purine
DISEASES	3	0.00016	0.0097	Trichothiodystrophy
RCTM	4	0.00075	0.0097	Recognition and association of DNA glycosylase with site containing an affected purine
DISEASES	5	0.00016	0.0097	Melanoma
Keyword	2	0.0006	0.0098	Primosome
InterPro	5	9.57e-05	0.0098	Cyclin-like superfamily
Process	31	0.00024	0.0098	Response to oxygen-containing compound
Process	29	0.00024	0.0098	Regulation of phosphate metabolic process
DISEASES	6	0.00017	0.01	Male reproductive organ cancer
HPO	5	0.00057	0.0101	Chronic diarrhea
HPO	6	0.00058	0.0102	Choreoathetosis
HPO	6	0.00058	0.0102	Decreased nerve conduction velocity
Process	6	0.00026	0.0105	Somite development
WikiPathways	4	0.00075	0.0105	Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome
Process	3	0.00027	0.0107	Mitochondrial DNA replication
Process	5	0.00027	0.0107	Homologous chromosome pairing at meiosis
Process	13	0.00027	0.0107	Histone modification
Process	3	0.00027	0.0107	Positive regulation of ligase activity
HPO	3	0.00061	0.0108	Absent earlobe
HPO	3	0.00061	0.0108	Absence of subcutaneous fat
HPO	7	0.00062	0.0108	Abnormal thyroid morphology
HPO	4	0.00062	0.0109	Long nose
Process	7	0.00027	0.0109	Regulation of mitotic nuclear division
RCTM	3	0.00086	0.011	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1
HPO	6	0.00064	0.0112	Renal neoplasm
Component	3	0.00051	0.0112	Cul4A-RING E3 ubiquitin ligase complex
RCTM	5	0.0009	0.0114	Regulation of HSF1-mediated heat shock response
Function	3	0.00027	0.0115	TFIID-class transcription factor complex binding
NetworkNeighborAL	3	0.00016	0.0115	Drug-mediated inhibition of CDK4/CDK6 activity, and Regulation of cardiac muscle tissue regeneration
Function	3	0.00027	0.0115	G-rich strand telomeric DNA binding
Process	5	0.00029	0.0115	Male meiotic nuclear division
WikiPathways	3	0.00086	0.0118	ID signaling pathway
Process	36	0.0003	0.0119	Positive regulation of macromolecule biosynthetic process
HPO	15	0.00069	0.012	Respiratory tract infection
COMPARTMENTS	5	0.00057	0.0121	Nucleoid
HPO	11	0.0007	0.0122	Posteriorly rotated ears
HPO	9	0.0007	0.0123	Abnormality of the calf
HPO	8	0.00072	0.0125	Respiratory distress
COMPARTMENTS	2	0.0006	0.0126	Cyclin A1-CDK2 complex
COMPARTMENTS	2	0.0006	0.0126	Cyclin E2-CDK2 complex
COMPARTMENTS	2	0.0006	0.0126	PCNA-p21 complex
COMPARTMENTS	2	0.0006	0.0126	RecFOR complex
COMPARTMENTS	2	0.0006	0.0126	Ku70:Ku80 complex
COMPARTMENTS	2	0.0006	0.0126	DNA polymerase III complex
COMPARTMENTS	2	0.0006	0.0126	Gamma DNA polymerase complex
Process	16	0.00032	0.0126	Cellular response to organonitrogen compound
Component	2	0.0006	0.013	Gamma DNA polymerase complex
Component	2	0.0006	0.013	ATR-ATRIP complex
Component	2	0.0006	0.013	Rad51C-XRCC3 complex
Component	2	0.0006	0.013	Ku70:Ku80 complex
Component	2	0.0006	0.013	PCNA-p21 complex
Component	2	0.0006	0.013	Cyclin A1-CDK2 complex
Component	2	0.0006	0.013	Cyclin E2-CDK2 complex
Component	2	0.0006	0.013	Shu complex
Component	2	0.0006	0.013	MCM8-MCM9 complex
HPO	4	0.00075	0.013	Abnormal epiphysis morphology of the phalanges of the hand
HPO	6	0.00074	0.013	Abnormal nerve conduction velocity
Process	23	0.00033	0.013	Positive regulation of protein modification process
Component	8	0.0006	0.013	cullin-RING ubiquitin ligase complex
HPO	14	0.00076	0.0131	Abnormal myelination
Process	3	0.00034	0.0131	Cellular response to hydroxyurea
Process	5	0.00034	0.0132	Regulation of mitotic sister chromatid segregation
Process	17	0.00034	0.0133	Cellular response to nitrogen compound
KEGG	7	0.0014	0.0136	Hepatitis C
Function	4	0.00032	0.0137	Cyclin-dependent protein serine/threonine kinase activity
Function	12	0.00034	0.0141	RNA polymerase II-specific DNA-binding transcription factor binding
HPO	6	0.00082	0.0142	Skin rash
HPO	4	0.00082	0.0142	Basal ganglia calcification
HPO	4	0.00082	0.0142	Male hypogonadism
HPO	4	0.00082	0.0142	Abnormal astrocyte morphology
HPO	11	0.00082	0.0142	Abnormality of mouth size
Process	6	0.00037	0.0144	Centrosome cycle
COMPARTMENTS	3	0.00073	0.0145	Cul4A-RING E3 ubiquitin ligase complex
HPO	7	0.00085	0.0146	Sarcoma
RCTM	4	0.0012	0.0147	Cleavage of the damaged pyrimidine
RCTM	3	0.0012	0.0147	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
RCTM	4	0.0012	0.0147	Recognition and association of DNA glycosylase with site containing an affected pyrimidine
HPO	3	0.00086	0.0148	Anodontia
HPO	28	0.00086	0.0148	Abdominal symptom
TISSUES	6	0.00017	0.0149	Fibroblast cell line
HPO	7	0.00088	0.0151	Abnormality of corneal size
KEGG	7	0.0016	0.0152	Hepatocellular carcinoma
RCTM	4	0.0013	0.0155	Formation of HIV-1 elongation complex containing HIV-1 Tat
DISEASES	5	0.00027	0.0155	Prostate cancer
HPO	9	0.00091	0.0156	Hyperkeratosis
RCTM	7	0.0013	0.0156	Factors involved in megakaryocyte development and platelet production
Process	3	0.00042	0.016	Regulation of helicase activity
HPO	6	0.00095	0.0161	Hypotelorism
RCTM	3	0.0013	0.0162	Regulation of TP53 Activity through Methylation
HPO	8	0.00096	0.0164	Gait ataxia
HPO	10	0.00097	0.0165	Abnormality of dental structure
Process	15	0.00043	0.0165	RNA biosynthetic process
Keyword	56	0.001	0.0166	Metal-binding
HPO	2	0.00099	0.0167	Subcortical white matter calcifications
HPO	2	0.00099	0.0167	Thymic hormone decreased
KEGG	6	0.0018	0.0169	Oocyte meiosis
HPO	3	0.001	0.017	Dry hair
HPO	11	0.001	0.0171	Cerebellar atrophy
Function	3	0.00042	0.0173	RNA polymerase II CTD heptapeptide repeat kinase activity
HPO	19	0.001	0.0176	Abnormal retinal morphology
RCTM	2	0.0015	0.0176	Transcriptional  activation of  cell cycle inhibitor p21
RCTM	4	0.0015	0.0176	Formation of HIV elongation complex in the absence of HIV Tat
COMPARTMENTS	5	0.0009	0.0176	Nuclear matrix
HPO	4	0.0011	0.018	Urticaria
HPO	4	0.0011	0.018	Gaze-evoked nystagmus
WikiPathways	5	0.0013	0.0181	Joubert syndrome
Process	7	0.00048	0.0182	Lymphocyte activation involved in immune response
DISEASES	4	0.00032	0.0183	Breast carcinoma
HPO	7	0.0011	0.0187	Abnormal bronchus morphology
Keyword	5	0.0012	0.0188	Multifunctional enzyme
Function	5	0.00046	0.0189	Basal RNA polymerase II transcription machinery binding
COMPARTMENTS	2	0.00099	0.0191	Beta-galactosidase complex
COMPARTMENTS	2	0.00099	0.0191	Rad51B-Rad51C complex
COMPARTMENTS	4	0.00098	0.0191	SCF ubiquitin ligase complex
Process	23	0.0005	0.0191	Embryo development
COMPARTMENTS	2	0.00099	0.0191	Pre-primosome complex
Component	2	0.00099	0.0193	Holliday junction resolvase complex
Component	2	0.00099	0.0193	Rb-E2F complex
Component	2	0.00099	0.0193	Slx1-Slx4 complex
Component	2	0.00099	0.0193	VCB complex
Function	97	0.00048	0.0195	Protein binding
WikiPathways	4	0.0015	0.0195	Aryl hydrocarbon receptor pathway
HPO	3	0.0012	0.0196	Severe combined immunodeficiency
HPO	3	0.0012	0.0196	Medulloblastoma
HPO	8	0.0012	0.0196	Ectopic calcification
RCTM	6	0.0017	0.0197	Transcriptional regulation by RUNX2
HPO	7	0.0012	0.0199	Abnormal nasopharynx morphology
HPO	66	0.0012	0.0204	Hematological measurement
HPO	11	0.0012	0.0206	Epidermal thickening
HPO	4	0.0013	0.0209	Abnormality of the radial head
HPO	4	0.0013	0.0209	Confusion
HPO	5	0.0013	0.0211	Postural instability
Process	23	0.00056	0.0211	Cellular response to oxygen-containing compound
Process	4	0.00056	0.0212	Positive regulation of telomere maintenance via telomerase
HPO	13	0.0013	0.0215	Recurrent respiratory infections
InterPro	10	0.00021	0.0217	Winged helix-like DNA-binding domain superfamily
HPO	3	0.0013	0.0221	Bronchomalacia
HPO	5	0.0013	0.0222	Sensorimotor neuropathy
Process	10	0.00059	0.0223	Cellular response to chemical stress
Process	2	0.0006	0.0224	Nucleotide-excision repair, DNA duplex unwinding
Process	2	0.0006	0.0224	Nucleotide-excision repair, DNA incision, 3-to lesion
Process	2	0.0006	0.0224	DNA replication, Okazaki fragment processing
Process	3	0.00061	0.0224	Positive regulation of chromatin binding
Process	2	0.0006	0.0224	Recombinational interstrand cross-link repair
Process	2	0.0006	0.0224	DNA replication proofreading
Process	2	0.0006	0.0224	Mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication
Process	2	0.0006	0.0224	Resolution of mitotic recombination intermediates
Process	2	0.0006	0.0224	Establishment of RNA localization to telomere
Process	2	0.0006	0.0224	Establishment of protein-containing complex localization to telomere
Process	2	0.0006	0.0224	Nucleotide-excision repair involved in interstrand cross-link repair
Process	2	0.0006	0.0224	Positive regulation of single strand break repair
Process	2	0.0006	0.0224	Positive regulation of telomerase catalytic core complex assembly
Process	2	0.0006	0.0224	Mitotic recombination-dependent replication fork processing
DISEASES	3	0.00042	0.023	Seckel syndrome
HPO	8	0.0014	0.0231	Abnormal metaphysis morphology
Process	5	0.00065	0.0234	Somitogenesis
Function	2	0.0006	0.0239	Polynucleotide 3-phosphatase activity
Function	2	0.0006	0.0239	DNA end binding
Function	2	0.0006	0.0239	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity
Function	2	0.0006	0.0239	MutSbeta complex binding
Function	2	0.0006	0.0239	MutLbeta complex binding
Function	2	0.0006	0.0239	Site-specific endodeoxyribonuclease activity, specific for altered base
Function	2	0.0006	0.0239	Purine-specific mismatch base pair DNA N-glycosylase activity
Function	5	0.00061	0.0239	Promoter-specific chromatin binding
Function	2	0.0006	0.0239	Telomeric G-quadruplex DNA binding
Function	2	0.0006	0.0239	Forked DNA-dependent helicase activity
Function	2	0.0006	0.0239	DNA clamp unloader activity
Function	2	0.0006	0.0239	FHA domain binding
WikiPathways	4	0.0018	0.0239	Hepatitis C and hepatocellular carcinoma
RCTM	2	0.002	0.024	Activation of NOXA and translocation to mitochondria
RCTM	2	0.002	0.024	Diseases of Base Excision Repair
RCTM	2	0.002	0.024	Drug-mediated inhibition of CDK4/CDK6 activity
Keyword	10	0.0016	0.024	Iron
HPO	2	0.0015	0.0242	Small anterior fontanelle
TISSUES	7	0.00029	0.0249	B-lymphocyte cell line
WikiPathways	3	0.002	0.025	Progeria-associated lipodystrophy
WikiPathways	3	0.002	0.025	NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence
HPO	3	0.0015	0.0251	Panhypogammaglobulinemia
HPO	3	0.0015	0.0251	Vitiligo
HPO	3	0.0015	0.0251	Abnormal femoral metaphysis morphology
HPO	7	0.0015	0.0251	Abnormality of hair texture
HPO	3	0.0015	0.0251	Hodgkin lymphoma
Process	6	0.00071	0.0254	DNA modification
Keyword	32	0.0017	0.0254	Transferase
HPO	17	0.0016	0.0256	Eosinophil count
HPO	4	0.0016	0.0259	Dysdiadochokinesis
HPO	4	0.0016	0.0259	Breast hypoplasia
Process	7	0.00073	0.026	Regulation of B cell activation
Pfam	3	5.4e-05	0.0266	FAT domain
Pfam	3	1.96e-05	0.0266	DNA ligase N terminus
Pfam	3	1.96e-05	0.0266	ATP dependent DNA ligase C terminal region        
Pfam	3	1.96e-05	0.0266	GINS complex protein
Pfam	3	3.4e-05	0.0266	RecQ zinc-binding
Pfam	3	1.96e-05	0.0266	DNA polymerase alpha/epsilon subunit B
Component	2	0.0015	0.0273	CHRAC
Component	2	0.0015	0.0273	BRCA1-BARD1 complex
COMPARTMENTS	29	0.0015	0.0274	Cytoskeleton
COMPARTMENTS	2	0.0015	0.0275	Rad6-Rad18 complex
COMPARTMENTS	2	0.0015	0.0275	Shu complex
COMPARTMENTS	2	0.0015	0.0275	Single-stranded DNA-binding protein complex
COMPARTMENTS	2	0.0015	0.0275	Rhp55-Rhp57 complex
COMPARTMENTS	2	0.0015	0.0275	BRCA1-BARD1 complex
COMPARTMENTS	2	0.0015	0.0275	CENP-T-W-S-X complex
HPO	4	0.0017	0.0277	Keratinocyte carcinoma
DISEASES	3	0.00051	0.0278	In situ carcinoma
HPO	5	0.0018	0.0284	Intention tremor
Process	36	0.0008	0.0284	Positive regulation of cellular biosynthetic process
HPO	17	0.0018	0.0287	Abnormal thorax morphology
Component	4	0.0016	0.0288	Nuclear ubiquitin ligase complex
Process	4	0.00082	0.0292	Regulation of isotype switching
HPO	9	0.0018	0.0293	Abnormality of the pituitary gland
KEGG	6	0.0033	0.0297	Measles
HPO	13	0.0019	0.0298	Tremor
Process	18	0.00085	0.03	Gamete generation
HPO	6	0.0019	0.0301	Cerebral calcification
HPO	6	0.0019	0.0301	Abnormal temporal lobe morphology
HPO	6	0.0019	0.0301	Autoimmunity
WikiPathways	3	0.0024	0.0304	miRNA regulation of p53 pathway in prostate cancer
HPO	3	0.002	0.0312	Ridged nail
HPO	4	0.002	0.0314	Pathologic fracture
HPO	8	0.002	0.0314	Thick vermilion border
HPO	4	0.002	0.0314	Recurrent viral infections
Process	4	0.0009	0.0317	Positive regulation of double-strand break repair via homologous recombination
Process	4	0.0009	0.0317	Regulation of intrinsic apoptotic signaling pathway in response to DNA damage
HPO	31	0.002	0.032	Abnormality of digestive system physiology
DISEASES	2	0.0006	0.0322	Obsolete papillomavirus infectious disease
DISEASES	4	0.00062	0.0322	Severe combined immunodeficiency
DISEASES	2	0.0006	0.0322	Familial retinoblastoma
DISEASES	2	0.0006	0.0322	Xeroderma pigmentosum group B
DISEASES	2	0.0006	0.0322	Fanconi anemia complementation group I
DISEASES	2	0.0006	0.0322	Fanconi anemia complementation group T
DISEASES	2	0.0006	0.0322	Meier-Gorlin syndrome 5
DISEASES	2	0.0006	0.0322	XFE progeroid syndrome
HPO	6	0.002	0.0322	Arthralgia
DISEASES	2	0.0006	0.0322	Fanconi anemia complementation group Q
HPO	2	0.002	0.0323	Absent sternal ossification
WikiPathways	2	0.0027	0.033	Metastatic brain tumor
WikiPathways	2	0.0027	0.033	lncRNA-mediated mechanisms of therapeutic resistance
Process	6	0.00095	0.0332	Hematopoietic progenitor cell differentiation
HPO	6	0.0021	0.0334	Aminoaciduria
HPO	4	0.0021	0.0334	Mild global developmental delay
HPO	6	0.0022	0.0344	Microcornea
HPO	3	0.0022	0.0344	Bilateral microphthalmos
HPO	3	0.0022	0.0344	Abnormal auditory evoked potentials
Process	2	0.00099	0.0345	Replication fork reversal
Process	2	0.00099	0.0345	Negative regulation of t-circle formation
Process	2	0.00099	0.0345	Mitotic telomere maintenance via semi-conservative replication
Process	2	0.00099	0.0345	Negative regulation of transcription involved in G1/S transition of mitotic cell cycle
Process	3	0.001	0.0345	Positive regulation of DNA damage response, signal transduction by p53 class mediator
Process	2	0.00099	0.0345	Replication fork arrest
Process	2	0.00099	0.0345	Small-subunit processome assembly
Process	2	0.00099	0.0345	DNA ADP-ribosylation
Process	2	0.00099	0.0345	Peptidyl-serine ADP-ribosylation
Process	8	0.001	0.0345	Peptidyl-serine phosphorylation
Process	2	0.00099	0.0345	Negative regulation of protein ADP-ribosylation
Process	3	0.001	0.0345	Positive regulation of double-strand break repair via nonhomologous end joining
WikiPathways	4	0.0029	0.0346	Overlap between signal transduction pathways contributing to LMNA laminopathies
Function	5	0.00095	0.0348	p53 binding
SMART	2	0.0006	0.0349	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
SMART	2	0.0006	0.0349	CDC6, C terminal
SMART	2	0.0006	0.0349	This DNA-binding domain is found in the RecQ helicase among others and has a helix-turn-helix structure. The RQC domain, found only in RecQ family enzymes, is a high affinity G4 DNA binding domain PUBMED:16530788.
SMART	2	0.0006	0.0349	Ku70 and Ku80 are 70kDa and 80kDa subunits of the Lupus Ku autoantigen
HPO	10	0.0022	0.0351	Abnormality of the thyroid gland
WikiPathways	6	0.0031	0.0356	Measles virus infection
