category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:23599899	14	50	9606	CDC6,MCM5,MCM4,MCM6,DBF4,CDK2,GINS4,CDT1,CDC25A,MCM7,WDHD1,CDK1,GINS3,MCM3	CDC6,MCM5,MCM4,MCM6,DBF4,CDK2,GINS4,CDT1,CDC25A,MCM7,WDHD1,CDK1,GINS3,MCM3	4.0900000000000002e-22	2.08e-17	(2013) The replication fork: understanding the eukaryotic replication machinery and the challenges to genome duplication.
PMID	PMID:25046975	11	12	9606	CDC6,MCM5,CCNA1,MCM4,MCM6,CDT1,MCM7,CDC7,MCM10,MCM3,CCNA2	CDC6,MCM5,CCNA1,MCM4,MCM6,CDT1,MCM7,CDC7,MCM10,MCM3,CCNA2	5.31e-22	2.64e-17	(2014) Minichromosome Maintenance (MCM) Family as potential diagnostic and prognostic tumor markers for human gliomas.
PMID	PMID:28446751	13	35	9606	CDC6,RBX1,CCNA1,CDK4,CDK6,CDK2,SKP2,CDT1,CDK1,CDKN1A,CUL2,CDKN2A,CCNA2	CDC6,RBX1,CCNA1,CDK4,CDK6,CDK2,SKP2,CDT1,CDK1,CDKN1A,CUL2,CDKN2A,CCNA2	6.0400000000000005e-22	2.97e-17	(2017) CRL4B(DCAF11) E3 ligase targets p21 for degradation to control cell cycle progression in human osteosarcoma cells.
PMID	PMID:28449043	12	22	9606	CDC6,MCM5,CCNA1,MCM4,MCM6,DBF4,CDK2,CDT1,MCM7,CDC7,MCM3,CCNA2	CDC6,MCM5,CCNA1,MCM4,MCM6,DBF4,CDK2,CDT1,MCM7,CDC7,MCM3,CCNA2	6.15e-22	2.99e-17	(2017) Potent DNA strand annealing activity associated with mouse Mcm2~7 heterohexameric complex.
PMID	PMID:19377303	12	22	9606	CDC6,MCM5,CCNA1,CDK4,MCM4,CDK2,CDT1,MCM7,E2F1,CDKN2A,MCM3,CCNA2	CDC6,MCM5,CCNA1,CDK4,MCM4,CDK2,CDT1,MCM7,E2F1,CDKN2A,MCM3,CCNA2	6.15e-22	2.99e-17	(2009) Prohibitin physically interacts with MCM proteins and inhibits mammalian DNA replication.
COMPARTMENTS	GOCC:1902494	35	1710	9606	RBX1,POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,ELOB,CCNE1,POLD3,POLA2,CDK6,CDK2,RB1,SKP2,POLE,PRIM1,REV3L,RRM2,DTL,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,CUL2,CDKN2A,POLE4,CCNE2,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	RBX1,POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,ELOB,CCNE1,POLD3,POLA2,CDK6,CDK2,RB1,SKP2,POLE,PRIM1,REV3L,RRM2,DTL,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,CUL2,CDKN2A,POLE4,CCNE2,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	2.62e-19	3.17e-17	Catalytic complex
COMPARTMENTS	GOCC:0043231	64	8162	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	3.03e-19	3.48e-17	Intracellular membrane-bounded organelle
PMID	PMID:33671637	13	36	9606	CDC6,RBX1,POLE2,MCM4,POLD3,DBF4,CDK2,CDT1,CDC25A,E2F1,CDK1,POLD2,MCM3	CDC6,RBX1,POLE2,MCM4,POLD3,DBF4,CDK2,CDT1,CDC25A,E2F1,CDK1,POLD2,MCM3	8.200000000000001e-22	3.9e-17	(2021) Transcriptome Analysis of Caco-2 Cells upon the Exposure of Mycotoxin Deoxynivalenol and Its Acetylated Derivatives.
Process	GO:0000727	10	12	9606	MCM5,GINS2,MCM4,MCM6,MCM2,GINS4,MCM7,CDC7,MCMDC2,MCM3	MCM5,GINS2,MCM4,MCM6,MCM2,GINS4,MCM7,CDC7,MCMDC2,MCM3	8.49e-20	4.59e-17	Double-strand break repair via break-induced replication
PMID	PMID:31818869	11	13	9606	CDC6,MCM5,ORC6,GMNN,ORC3,MCM6,DBF4,ORC5,CDT1,DONSON,ORC4	CDC6,MCM5,ORC6,GMNN,ORC3,MCM6,DBF4,ORC5,CDT1,DONSON,ORC4	9.77e-22	4.6e-17	(2020) Tissue-Specific DNA Replication Defects in Drosophila melanogaster Caused by a Meier-Gorlin Syndrome Mutation in Orc4.
PMID	PMID:19292915	11	13	9606	CDC6,MCM5,MCM4,MCM6,CDT1,MCM7,MCM9,MCM8,MCM10,MCM3,MCM8-2	CDC6,MCM5,MCM4,MCM6,CDT1,MCM7,MCM9,MCM8,MCM10,MCM3,MCM8-2	9.77e-22	4.6e-17	(2009) Ancient diversification of eukaryotic MCM DNA replication proteins.
PMID	PMID:34062959	14	54	9606	CDC6,RBX1,CDK4,ELOB,CDK6,CDK2,RB1,SKP2,CDT1,E2F1,CDK1,CDC7,CUL2,CDKN2A	CDC6,RBX1,CDK4,ELOB,CDK6,CDK2,RB1,SKP2,CDT1,E2F1,CDK1,CDC7,CUL2,CDKN2A	1.04e-21	4.8e-17	(2021) Role of Hypoxia in the Control of the Cell Cycle.
Process	GO:0044772	17	173	9606	CCNA1,CDK4,CCNE1,DBF4,CDK6,CDK2,RB1,SKP2,CDC25A,POLE,E2F1,CDK1,CDKN1A,CDC7,CUL2,CCNE2,CCNA2	CCNA1,CDK4,CCNE1,DBF4,CDK6,CDK2,RB1,SKP2,CDC25A,POLE,E2F1,CDK1,CDKN1A,CDC7,CUL2,CCNE2,CCNA2	9.51e-20	4.97e-17	Mitotic cell cycle phase transition
PMID	PMID:34694004	13	37	9606	MCM5,POLE2,MCM4,MCM6,MCM2,GINS4,MCM7,POLE,WDHD1,POLE3,GINS3,POLE4,MCM3	MCM5,POLE2,MCM4,MCM6,MCM2,GINS4,MCM7,POLE,WDHD1,POLE3,GINS3,POLE4,MCM3	1.1e-21	5.04e-17	(2021) Structure of a human replisome shows the organisation and interactions of a DNA replication machine.
PMID	PMID:30266203	13	37	9606	CDC6,CCNA1,MCM4,DBF4,CDK2,TICRR,GINS4,CDT1,CDC25A,WDHD1,CDC7,MCM10,CCNA2	CDC6,CCNA1,MCM4,DBF4,CDK2,TICRR,GINS4,CDT1,CDC25A,WDHD1,CDC7,MCM10,CCNA2	1.1e-21	5.04e-17	(2018) Regulation of the initiation of DNA replication in human cells.
PMID	PMID:27695057	12	24	9606	CDC6,MCM4,MCM6,DBF4,CDT1,MCM7,MCM9,MCM8,CDK1,CDC7,MCM10,MCM8-2	CDC6,MCM4,MCM6,DBF4,CDT1,MCM7,MCM9,MCM8,CDK1,CDC7,MCM10,MCM8-2	1.4e-21	6.24e-17	(2016) The Expression and Prognostic Roles of MCMs in Pancreatic Cancer.
PMID	PMID:21593208	12	24	9606	MCM5,MCM4,MCM6,DBF4,CDK2,TICRR,GINS4,CDT1,MCM7,GINS3,MCM10,MCM3	MCM5,MCM4,MCM6,DBF4,CDK2,TICRR,GINS4,CDT1,MCM7,GINS3,MCM10,MCM3	1.4e-21	6.24e-17	(2011) CDK promotes interactions of Sld3 and Drc1 with Cut5 for initiation of DNA replication in fission yeast.
PMID	PMID:26876972	12	24	9606	CDC6,MCM5,ORC6,CCNA1,MCM4,POLD3,MCM6,DBF4,CDT1,MCM7,MCM3,CCNA2	CDC6,MCM5,ORC6,CCNA1,MCM4,POLD3,MCM6,DBF4,CDT1,MCM7,MCM3,CCNA2	1.4e-21	6.24e-17	(2016) The presence of extra chromosomes leads to genomic instability.
COMPARTMENTS	GOCC:0005657	13	67	9606	CDC6,POLD3,POLA2,CDT1,DONSON,PRIM1,WDHD1,RPA4,POLA1,MCM10,POLD2,MCM3,PRIM2	CDC6,POLD3,POLA2,CDT1,DONSON,PRIM1,WDHD1,RPA4,POLA1,MCM10,POLD2,MCM3,PRIM2	9.06e-19	9.49e-17	Replication fork
COMPARTMENTS	GOCC:0030894	11	29	9606	CDC6,POLD3,POLA2,CDT1,DONSON,PRIM1,RPA4,POLA1,POLD2,MCM3,PRIM2	CDC6,POLD3,POLA2,CDT1,DONSON,PRIM1,RPA4,POLA1,POLD2,MCM3,PRIM2	8.66e-19	9.49e-17	Replisome
Process	GO:0000082	14	86	9606	CDK4,CCNE1,DBF4,CDK6,CDK2,RB1,SKP2,CDC25A,POLE,E2F1,CDKN1A,CDC7,CUL2,CCNE2	CDK4,CCNE1,DBF4,CDK6,CDK2,RB1,SKP2,CDC25A,POLE,E2F1,CDKN1A,CDC7,CUL2,CCNE2	3.44e-19	1.68e-16	G1/S transition of mitotic cell cycle
InterPro	IPR031327	10	10	9606	MCM5,MCM4,MCM6,MCM2,MCM7,MCM9,MCM8,MCMDC2,MCM3,MCM8-2	MCM5,MCM4,MCM6,MCM2,MCM7,MCM9,MCM8,MCMDC2,MCM3,MCM8-2	2.44e-20	1.75e-16	Mini-chromosome maintenance protein
InterPro	IPR041562	10	10	9606	MCM5,MCM4,MCM6,MCM2,MCM7,MCM9,MCM8,MCMDC2,MCM3,MCM8-2	MCM5,MCM4,MCM6,MCM2,MCM7,MCM9,MCM8,MCMDC2,MCM3,MCM8-2	2.44e-20	1.75e-16	MCM, AAA-lid domain
InterPro	IPR001208	10	10	9606	MCM5,MCM4,MCM6,MCM2,MCM7,MCM9,MCM8,MCMDC2,MCM3,MCM8-2	MCM5,MCM4,MCM6,MCM2,MCM7,MCM9,MCM8,MCMDC2,MCM3,MCM8-2	2.44e-20	1.75e-16	MCM domain
Process	GO:0030174	10	15	9606	MCM5,GMNN,MCM4,MCM6,MCM2,CDK2,TICRR,CDT1,MCM7,MCM3	MCM5,GMNN,MCM4,MCM6,MCM2,CDK2,TICRR,CDT1,MCM7,MCM3	4.26e-19	2.02e-16	Regulation of DNA-templated DNA replication initiation
Process	GO:0032508	14	89	9606	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,MCM9,MCM8,GINS3,MCMDC2,MCM3,MCM8-2	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,MCM9,MCM8,GINS3,MCMDC2,MCM3,MCM8-2	5.31e-19	2.45e-16	DNA duplex unwinding
COMPARTMENTS	GOCC:0000811	9	10	9606	GINS2,GINS1,DBF4,TICRR,GINS4,CDT1,WDHD1,GINS3,MCM10	GINS2,GINS1,DBF4,TICRR,GINS4,CDT1,WDHD1,GINS3,MCM10	4.02e-18	4.02e-16	GINS complex
Function	GO:0140097	18	221	9606	MCM5,POLE2,CHRAC1,MCM4,MCM6,MCM2,MCM7,MCM9,POLE,REV3L,POLE3,MCM8,POLA1,POLG,POLE4,POLG2,MCM3,MCM8-2	MCM5,POLE2,CHRAC1,MCM4,MCM6,MCM2,MCM7,MCM9,POLE,REV3L,POLE3,MCM8,POLA1,POLG,POLE4,POLG2,MCM3,MCM8-2	1.59e-19	7.86e-16	Catalytic activity, acting on DNA
Function	GO:0003688	10	16	9606	CDC6,MCM5,ORC2,ORC3,MCM2,ORC5,ORC1,POLA1,MCM10,ORC4	CDC6,MCM5,ORC2,ORC3,MCM2,ORC5,ORC1,POLA1,MCM10,ORC4	6.9e-19	1.7e-15	DNA replication origin binding
NetworkNeighborAL	CL:6904	10	21	9606	CCNA1,CDK4,CCNE1,CDK6,CDK2,RB1,E2F1,CDKN1A,CDKN2A,CCNE2	CCNA1,CDK4,CCNE1,CDK6,CDK2,RB1,E2F1,CDKN1A,CDKN2A,CCNE2	5.69e-18	2.36e-15	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3), and Cyclin-dependent protein serine/threonine kinase inhibitor activity
Process	GO:0006268	10	22	9606	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,GINS3,MCM3	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,GINS3,MCM3	8.25e-18	3.5e-15	DNA unwinding involved in DNA replication
InterPro	IPR033762	9	9	9606	MCM5,MCM4,MCM6,MCM2,MCM7,MCM9,MCM8,MCM3,MCM8-2	MCM5,MCM4,MCM6,MCM2,MCM7,MCM9,MCM8,MCM3,MCM8-2	2.12e-18	3.81e-15	MCM OB domain
Process	GO:0000724	14	114	9606	MCM5,GINS2,MCM4,MCM6,MCM2,GINS4,MCM7,MCM9,REV3L,RPA4,MCM8,CDC7,MCMDC2,MCM3	MCM5,GINS2,MCM4,MCM6,MCM2,GINS4,MCM7,MCM9,REV3L,RPA4,MCM8,CDC7,MCMDC2,MCM3	1.26e-17	5.19e-15	Double-strand break repair via homologous recombination
Component	GO:0030894	9	15	9606	POLD3,POLA2,DONSON,PRIM1,RPA4,POLA1,POLD2,MCM3,PRIM2	POLD3,POLA2,DONSON,PRIM1,RPA4,POLA1,POLD2,MCM3,PRIM2	5.61e-17	5.74e-15	Replisome
Process	GO:0033260	10	24	9606	GMNN,MCM4,GINS1,MCM6,MCM2,CDT1,DONSON,POLA1,GINS3,MCM3	GMNN,MCM4,GINS1,MCM6,MCM2,CDT1,DONSON,POLA1,GINS3,MCM3	1.67e-17	6.7e-15	Nuclear DNA replication
Component	GO:0043596	10	29	9606	POLD3,POLA2,PRIM1,WDHD1,RPA4,POLA1,MCM10,POLD2,MCM3,PRIM2	POLD3,POLA2,PRIM1,WDHD1,RPA4,POLA1,MCM10,POLD2,MCM3,PRIM2	7.97e-17	7.77e-15	Nuclear replication fork
Component	GO:0140535	24	784	9606	RBX1,POLE2,CHRAC1,MAD2L2,ELOB,POLD3,POLA2,DBF4,SKP2,POLE,PRIM1,REV3L,DTL,POLE3,POLA1,CRCP,POLG,CUL2,POLE4,POLG2,ELOC,POLD2,MCM3,PRIM2	RBX1,POLE2,CHRAC1,MAD2L2,ELOB,POLD3,POLA2,DBF4,SKP2,POLE,PRIM1,REV3L,DTL,POLE3,POLA1,CRCP,POLG,CUL2,POLE4,POLG2,ELOC,POLD2,MCM3,PRIM2	1.36e-16	1.27e-14	Intracellular protein-containing complex
Process	GO:0006302	16	204	9606	MCM5,MAD2L2,GINS2,MCM4,MCM6,MCM2,GINS4,MCM7,MCM9,REV3L,RPA4,MCM8,POLA1,CDC7,MCMDC2,MCM3	MCM5,MAD2L2,GINS2,MCM4,MCM6,MCM2,GINS4,MCM7,MCM9,REV3L,RPA4,MCM8,POLA1,CDC7,MCMDC2,MCM3	3.63e-17	1.36e-14	Double-strand break repair
Process	GO:0071897	13	92	9606	POLE2,CHRAC1,MAD2L2,POLD3,POLE,REV3L,DTL,POLE3,POLA1,POLG,POLE4,POLG2,POLD2	POLE2,CHRAC1,MAD2L2,POLD3,POLE,REV3L,DTL,POLE3,POLA1,POLG,POLE4,POLG2,POLD2	3.76e-17	1.37e-14	DNA biosynthetic process
Component	GO:0042555	8	8	9606	MCM5,MCM4,MCM6,MCM2,MCM7,MCM9,MCM8,MCM3	MCM5,MCM4,MCM6,MCM2,MCM7,MCM9,MCM8,MCM3	1.82e-16	1.62e-14	MCM complex
COMPARTMENTS	GOCC:0043596	10	32	9606	POLD3,POLA2,PRIM1,WDHD1,RPA4,POLA1,MCM10,POLD2,MCM3,PRIM2	POLD3,POLA2,PRIM1,WDHD1,RPA4,POLA1,MCM10,POLD2,MCM3,PRIM2	1.83e-16	1.76e-14	Nuclear replication fork
Component	GO:0000781	14	143	9606	MCM5,ORC2,ORC3,MCM4,MCM6,MCM2,CDK2,ORC5,MCM7,ORC1,RPA4,CDK1,ORC4,MCM3	MCM5,ORC2,ORC3,MCM4,MCM6,MCM2,CDK2,ORC5,MCM7,ORC1,RPA4,CDK1,ORC4,MCM3	2.34e-16	2e-14	Chromosome, telomeric region
Process	GO:0006271	9	15	9606	MCM4,GINS1,POLD3,MCM7,POLE,POLE3,POLA1,POLD2,MCM3	MCM4,GINS1,POLD3,MCM7,POLE,POLE3,POLA1,POLD2,MCM3	5.61e-17	2e-14	DNA strand elongation involved in DNA replication
RCTM	HSA-68952	8	8	9606	POLE2,POLA2,POLE,PRIM1,POLE3,POLA1,POLE4,PRIM2	POLE2,POLA2,POLE,PRIM1,POLE3,POLA1,POLE4,PRIM2	1.82e-16	2.19e-14	DNA replication initiation
RCTM	HSA-68689	8	8	9606	CDC6,ORC6,ORC2,ORC3,ORC5,ORC1,MCM8,ORC4	CDC6,ORC6,ORC2,ORC3,ORC5,ORC1,MCM8,ORC4	1.82e-16	2.19e-14	CDC6 association with the ORC:origin complex
RCTM	HSA-113507	8	9	9606	ORC6,ORC2,ORC3,ORC5,ORC1,MCM8,CDK1,ORC4	ORC6,ORC2,ORC3,ORC5,ORC1,MCM8,CDK1,ORC4	3.43e-16	3.73e-14	E2F-enabled inhibition of pre-replication complex formation
NetworkNeighborAL	CL:6523	8	8	9606	POLE2,POLA2,POLE,PRIM1,POLE3,POLA1,POLE4,PRIM2	POLE2,POLA2,POLE,PRIM1,POLE3,POLA1,POLE4,PRIM2	1.82e-16	6.95e-14	DNA replication initiation
Component	GO:0005657	11	60	9606	POLD3,POLA2,DONSON,PRIM1,WDHD1,RPA4,POLA1,MCM10,POLD2,MCM3,PRIM2	POLD3,POLA2,DONSON,PRIM1,WDHD1,RPA4,POLA1,MCM10,POLD2,MCM3,PRIM2	8.83e-16	7.23e-14	Replication fork
COMPARTMENTS	GOCC:0000808	8	11	9606	CDC6,ORC6,ORC2,ORC3,ORC5,CDT1,ORC1,ORC4	CDC6,ORC6,ORC2,ORC3,ORC5,CDT1,ORC1,ORC4	1.06e-15	9.4e-14	Origin recognition complex
NetworkNeighborAL	CL:6496	8	10	9606	MCM5,GINS2,GINS1,MCM2,GINS4,MCM7,WDHD1,GINS3	MCM5,GINS2,GINS1,MCM2,GINS4,MCM7,WDHD1,GINS3	6.16e-16	2.17e-13	CMG complex, and Replication fork arrest
Component	GO:0043601	8	13	9606	POLD3,POLA2,PRIM1,RPA4,POLA1,POLD2,MCM3,PRIM2	POLD3,POLA2,PRIM1,RPA4,POLA1,POLD2,MCM3,PRIM2	2.84e-15	2.24e-13	Nuclear replisome
Process	GO:1901987	19	431	9606	CDC6,MAD2L2,CDK4,DBF4,CDK2,RB1,TICRR,CDT1,CDC25A,DONSON,E2F1,RRM2,DTL,ORC1,RPA4,CDK1,CDKN1A,CDC7,CDKN2A	CDC6,MAD2L2,CDK4,DBF4,CDK2,RB1,TICRR,CDT1,CDC25A,DONSON,E2F1,RRM2,DTL,ORC1,RPA4,CDK1,CDKN1A,CDC7,CDKN2A	6.83e-16	2.33e-13	Regulation of cell cycle phase transition
RCTM	HSA-1538133	9	27	9606	CDC6,CCNA1,CCNE1,CDK2,CDC25A,E2F1,CDK1,CCNE2,CCNA2	CDC6,CCNA1,CCNE1,CDK2,CDC25A,E2F1,CDK1,CCNE2,CCNA2	3.91e-15	4.06e-13	G0 and Early G1
RCTM	HSA-69231	10	47	9606	CDK4,CCNE1,CDK6,CDK2,RB1,SKP2,E2F1,CDKN1A,CDKN2A,CCNE2	CDK4,CCNE1,CDK6,CDK2,RB1,SKP2,E2F1,CDKN1A,CDKN2A,CCNE2	5.16e-15	5.11e-13	Cyclin D associated events in G1
RCTM	HSA-69205	9	28	9606	CDC6,CCNA1,CCNE1,CDT1,E2F1,RRM2,ORC1,POLA1,CDK1	CDC6,CCNA1,CCNE1,CDT1,E2F1,RRM2,ORC1,POLA1,CDK1	5.15e-15	5.11e-13	G1/S-Specific Transcription
RCTM	HSA-73893	10	48	9606	RBX1,POLE2,MAD2L2,POLD3,POLE,REV3L,DTL,POLE3,POLE4,POLD2	RBX1,POLE2,MAD2L2,POLD3,POLE,REV3L,DTL,POLE3,POLE4,POLD2	6.22e-15	5.46e-13	DNA Damage Bypass
WikiPathways	WP1530	11	71	9606	CDK4,CCNE1,CDK6,CDK2,RB1,CDC25A,MCM7,E2F1,CDK1,CDKN1A,CCNE2	CDK4,CCNE1,CDK6,CDK2,RB1,CDC25A,MCM7,E2F1,CDK1,CDKN1A,CCNE2	4.69e-15	7.32e-13	miRNA regulation of DNA damage response
Process	GO:0051726	26	1108	9606	CDC6,GMNN,MAD2L2,CCNA1,CDK4,CCNE1,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,CDT1,CDC25A,DONSON,E2F1,RRM2,DTL,ORC1,RPA4,CDK1,CDKN1A,CDC7,CDKN2A,CCNE2,CCNA2	CDC6,GMNN,MAD2L2,CCNA1,CDK4,CCNE1,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,CDT1,CDC25A,DONSON,E2F1,RRM2,DTL,ORC1,RPA4,CDK1,CDKN1A,CDC7,CDKN2A,CCNE2,CCNA2	2.61e-15	8.7e-13	Regulation of cell cycle
Process	GO:1901990	17	332	9606	CDC6,MAD2L2,CDK4,CDK2,RB1,TICRR,CDT1,CDC25A,DONSON,E2F1,RRM2,DTL,ORC1,CDK1,CDKN1A,CDC7,CDKN2A	CDC6,MAD2L2,CDK4,CDK2,RB1,TICRR,CDT1,CDC25A,DONSON,E2F1,RRM2,DTL,ORC1,CDK1,CDKN1A,CDC7,CDKN2A	2.77e-15	9.04e-13	Regulation of mitotic cell cycle phase transition
Process	GO:0010389	12	99	9606	CDC6,CDK4,CDK2,TICRR,CDC25A,DONSON,DTL,ORC1,CDK1,CDKN1A,CDC7,CDKN2A	CDC6,CDK4,CDK2,TICRR,CDC25A,DONSON,DTL,ORC1,CDK1,CDKN1A,CDC7,CDKN2A	3.6e-15	1.15e-12	Regulation of G2/M transition of mitotic cell cycle
Process	GO:0034654	24	913	9606	POLE2,CHRAC1,MAD2L2,ELOB,POLD3,POLA2,CDK2,RB1,POLE,E2F1,PRIM1,REV3L,RRM2,DTL,POLE3,POLA1,CRCP,POLG,POLE4,POLG2,ELOC,POLD2,CCNA2,PRIM2	POLE2,CHRAC1,MAD2L2,ELOB,POLD3,POLA2,CDK2,RB1,POLE,E2F1,PRIM1,REV3L,RRM2,DTL,POLE3,POLA1,CRCP,POLG,POLE4,POLG2,ELOC,POLD2,CCNA2,PRIM2	3.73e-15	1.17e-12	Nucleobase-containing compound biosynthetic process
RCTM	HSA-9661069	8	17	9606	CDK4,CCNE1,CDK6,CDK2,RB1,E2F1,CDKN1A,CCNE2	CDK4,CCNE1,CDK6,CDK2,RB1,E2F1,CDKN1A,CCNE2	1.49e-14	1.26e-12	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)
KEGG	hsa04218	13	150	9606	CCNA1,CDK4,CCNE1,CDK6,CDK2,RB1,CDC25A,E2F1,CDK1,CDKN1A,CDKN2A,CCNE2,CCNA2	CCNA1,CDK4,CCNE1,CDK6,CDK2,RB1,CDC25A,E2F1,CDK1,CDKN1A,CDKN2A,CCNE2,CCNA2	1.3e-14	1.46e-12	Cellular senescence
RCTM	HSA-69202	11	82	9606	CCNA1,CDK4,CCNE1,CDK2,RB1,SKP2,CDC25A,E2F1,CDKN1A,CCNE2,CCNA2	CCNA1,CDK4,CCNE1,CDK2,RB1,SKP2,CDC25A,E2F1,CDKN1A,CCNE2,CCNA2	1.98e-14	1.56e-12	Cyclin E associated events during G1/S transition
COMPARTMENTS	GOCC:0043601	8	18	9606	POLD3,POLA2,PRIM1,RPA4,POLA1,POLD2,MCM3,PRIM2	POLD3,POLA2,PRIM1,RPA4,POLA1,POLD2,MCM3,PRIM2	2.15e-14	1.77e-12	Nuclear replisome
RCTM	HSA-69656	11	84	9606	CCNA1,CDK4,CCNE1,CDK2,RB1,SKP2,CDC25A,E2F1,CDKN1A,CCNE2,CCNA2	CCNA1,CDK4,CCNE1,CDK2,RB1,SKP2,CDC25A,E2F1,CDKN1A,CCNE2,CCNA2	2.52e-14	1.92e-12	Cyclin A:Cdk2-associated events at S phase entry
Function	GO:0003887	9	23	9606	POLE2,CHRAC1,POLE,REV3L,POLE3,POLA1,POLG,POLE4,POLG2	POLE2,CHRAC1,POLE,REV3L,POLE3,POLA1,POLG,POLE4,POLG2	1.18e-15	1.94e-12	DNA-directed DNA polymerase activity
RCTM	HSA-9687139	9	36	9606	CDK4,CCNE1,CDK6,CDK2,RB1,SKP2,E2F1,CDKN1A,CCNE2	CDK4,CCNE1,CDK6,CDK2,RB1,SKP2,E2F1,CDKN1A,CCNE2	3.59e-14	2.64e-12	Aberrant regulation of mitotic cell cycle due to RB1 defects
WikiPathways	WP4022	11	84	9606	POLE2,POLD3,POLA2,POLE,PRIM1,RRM2,POLE3,POLA1,POLE4,POLD2,PRIM2	POLE2,POLD3,POLA2,POLE,PRIM1,RRM2,POLE3,POLA1,POLE4,POLD2,PRIM2	2.52e-14	3.28e-12	Pyrimidine metabolism
Component	GO:0005664	7	9	9606	ORC6,ORC2,ORC3,MCM2,ORC5,ORC1,ORC4	ORC6,ORC2,ORC3,MCM2,ORC5,ORC1,ORC4	5.15e-14	3.9e-12	Nuclear origin of replication recognition complex
NetworkNeighborAL	CL:6476	7	7	9606	CDC6,ORC6,ORC2,ORC3,ORC5,ORC1,ORC4	CDC6,ORC6,ORC2,ORC3,ORC5,ORC1,ORC4	1.55e-14	5.08e-12	CDC6 association with the ORC:origin complex
Function	GO:0003677	36	2498	9606	CDC6,MCM5,POLE2,ORC6,CHRAC1,ORC2,ORC3,MCM4,MCM6,MCM2,POLA2,RB1,ORC5,CDT1,MCM7,MCM9,POLE,E2F1,REV3L,WDHD1,ORC1,RPA4,POLE3,MCM8,POLA1,POLG,MCMDC2,MCM10,CDKN2A,POLE4,ORC4,POLG2,POLD2,MCM3,PRIM2,MCM8-2	CDC6,MCM5,POLE2,ORC6,CHRAC1,ORC2,ORC3,MCM4,MCM6,MCM2,POLA2,RB1,ORC5,CDT1,MCM7,MCM9,POLE,E2F1,REV3L,WDHD1,ORC1,RPA4,POLE3,MCM8,POLA1,POLG,MCMDC2,MCM10,CDKN2A,POLE4,ORC4,POLG2,POLD2,MCM3,PRIM2,MCM8-2	4.27e-15	5.26e-12	DNA binding
Function	GO:0140640	20	575	9606	MCM5,POLE2,CHRAC1,MCM4,MCM6,MCM2,MCM7,MCM9,POLE,PRIM1,REV3L,POLE3,MCM8,POLA1,CRCP,POLG,POLE4,POLG2,MCM3,MCM8-2	MCM5,POLE2,CHRAC1,MCM4,MCM6,MCM2,MCM7,MCM9,POLE,PRIM1,REV3L,POLE3,MCM8,POLA1,CRCP,POLG,POLE4,POLG2,MCM3,MCM8-2	7.94e-15	6.53e-12	Catalytic activity, acting on a nucleic acid
